Date,pro
1月5日,0.45117
1月6日,0.4636
1月7日,0.47114
1月8日,0.48353
1月9日,0.49737
1月10日,0.51012
1月11日,0.52706
1月12日,0.53475
1月13日,0.5459
1月14日,0.55664
1月15日,0.571
1月16日,0.58506
1月17日,0.59448
1月18日,0.60519
1月19日,0.61161
1月20日,0.62233
1月21日,0.63594
1月22日,0.64447
1月23日,0.65252
1月24日,0.66063
1月25日,0.67004
1月26日,0.68484
1月27日,0.68793
1月28日,0.68907
1月29日,0.69821
1月30日,0.70317
1月31日,0.71269
2月1日,0.71652
2月2日,0.71937
2月3日,0.7264
2月4日,0.73349
2月5日,0.74314
2月6日,0.74443
2月7日,0.7475
2月8日,0.7517
2月9日,0.7565
2月10日,0.76098
2月11日,0.77039
2月12日,0.7799
2月13日,0.79173
2月14日,0.81013
2月15日,0.83077
2月16日,0.83279
2月17日,0.83872
2月18日,0.84618
2月19日,0.85767
2月20日,0.87518
2月21日,0.87311
2月22日,0.87477
2月23日,0.87623
2月24日,0.87655
2月25日,0.87129